1	0	0	0	6.32874
0.738684	0.0730995	0.156509	0.0284666	6.18721
0.685563	0.0734546	0.206818	0.033313	6.09147
0.641774	0.0741996	0.245269	0.0377506	6.00682
0.604384	0.0745612	0.274199	0.0433747	5.92614
0.571352	0.0743097	0.299955	0.0506554	5.86343
0.540855	0.0752786	0.322035	0.0571381	5.80856
0.515964	0.075906	0.338537	0.0642763	5.76644
0.493327	0.0761534	0.352189	0.0720263	5.72657
0.471692	0.0749699	0.367391	0.0787188	5.67979
0.449199	0.07515	0.380052	0.0886498	5.64851
